,Openness,Conscintiousness,Extraversion,Agreeableness,Neuroticism
0,take,heedful,extravert,meek,equilibrise
1,engineer,ascendancy,self-asserting,small-scale,amass
2,square,engineer,well-disposed,tender,call_for
3,straight-from-the-shoulder,thoughtful,straight-from-the-shoulder,sort,smooth
4,outspoken,insure,outspoken,trustworthy,balance
5,aboveboard,dependable,cheerful,charitable,unagitated
6,target,open-eyed,pollyannaish,co-op,gathered
7,rum,mastermind,outgo,accommodative,self-contained
8,peculiar,control,industrious,sympathetic,accumulate
9,mastermind,responsible,outperform,empathetic,collected
10,queer,manipulate,blunt,good-hearted,roll_up
11,blunt,mastery,upbeat,likable,unruffled
12,unmediated,unionise,self-assertive,benevolent,springy
13,guide,honest,mixer,cooperative,calmness
14,manoeuver,attentive,extravertive,variety,lively
15,calculate,command,loquacious,openhearted,quieten
16,odd,unionize,social,trusty,composure
17,originative,vigilant,gabby,warm,gather_up
18,open,contain,assertive,empathic,self-collected
19,adventuresome,assure,extrovert,lovesome,pile_up
20,channelise,dominance,exceed,conjunct,chill_out
21,head,operate,gumptious,low,simmer_down
22,straight,creditworthy,outdo,selflessness,calm
23,place,ensure,talky,mild,equanimous
24,lead,organised,blabbermouthed,kindly,gather
25,imaginative,authentic,sociable,modest,cool_it
26,candid,check,candid,pocket-sized,placid
27,direct,mindful,talkative,humble,passive
28,conduct,devise,forthright,concerted,hoard
29,forthright,hold_in,outgoing,lowly,live
30,verbatim,see,enthusiastic,altruism,strong-minded
31,orchestrate,ambitious,vocal,tolerant,cool_off
32,straightforward,direct,expansive,large-hearted,poised
33,directly,organized,outmatch,likeable,take_in
34,vocal,orchestrate,extroverted,genial,steady
35,aim,machinate,extrospective,form,settle_down
36,receptive,challenging,chatty,small,tranquil
37,adventurous,master,frank,appealing,lull
38,maneuver,coordinate,blabby,conjunctive,self-possessed
39,channelize,prepare,forthcoming,minor,collect
40,frank,correct,plainspoken,harmonic,calm_air
41,insightful,reliable,free-spoken,kind,compile
42,rummy,argus-eyed,energetic,affectionate,strong-willed
43,train,keep_in_line,favorable,pocket-size,still
44,sensory,paying_attention,surpass,fond,tranquillize
45,centripetal,ascendency,bigmouthed,compliant,peaceful
46,plainspoken,ascendance,extrovertive,,equilibrize
47,organize,hold,friendly,,equanimity
48,free-spoken,disciplined,extraverted,,tranquilize
49,manoeuvre,aware,garrulous,,sedate
50,open-minded,control_condition,up-and-coming,,balanced
51,point,train,surmount,,bouncy
52,funny,verify,point-blank,,resilient
53,lineal,true,outstrip,,pull_together
54,send,organize,,,quiet
55,address,unionised,,,tranquillise
56,inventive,ascertain,,,pull_in
57,creative,form,,,calm_down
58,steer,curb,,,garner
59,organise,restraint,,,serene
60,curious,ascendence,,,peaceable
61,take_aim,discipline,,,poise
62,singular,controller,,,pick_up
63,point-blank,moderate,,,equilibrate
64,,organise,,,becalm
65,,sort_out,,,
66,,serious-minded,,,
67,,responsible_for,,,
68,,unionized,,,
69,,condition,,,
70,,wakeful,,,
71,,see_to_it,,,
72,,get_up,,,
